car_id,car_name,reviews_count,fuel_type,engine_displacement,no_cylinder,seating_capacity,transmission_type,fuel_tank_capacity,Price,rating,Year,Model,Make,Car Features
1,Maruti Alto K10,51,Petrol,998,3,5,Automatic,27,4190000,4.5,2021,Passo,Toyota,"ABS, Air Bags, AM/FM Radio, CD Player, Cassette Player, Climate Control, DVD Player, Front Speakers, Front Camera, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera"
2,Maruti Brezza,86,Petrol,1462,4,5,Automatic,48,1300000,4.5,2018,Ravi,Suzuki,AM/FM Radio
3,Mahindra Thar,242,Diesel,2184,4,4,Automatic,57,800000,4.5,2015,Bolan,Suzuki,Rear speakers
4,Mahindra XUV700,313,Diesel,2198,4,7,Automatic,60,2155000,4.5,2013,Move,Daihatsu,"ABS, Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Immobilizer Key, Keyless Entry, Power Locks, Power Mirrors, Power Steering, Power Windows"
5,Mahindra Scorpio-N,107,Diesel,2198,4,7,Automatic,57,1440000,4.5,2011,Swift,Suzuki,"ABS, Air Conditioning, Alloy Rims, AM/FM Radio, Power Locks, Power Mirrors, Power Steering, Power Windows"
6,Toyota Fortuner,99,Diesel,2755,4,7,Automatic,80,2830000,4.5,2020,Wagon R,Suzuki,"ABS, Air Bags, Alloy Rims, AM/FM Radio, CD Player, DVD Player, Power Mirrors, Power Steering, Power Windows, Rear AC Vents, USB and Auxillary Cable"
7,Hyundai Creta,731,Diesel,1493,4,5,Automatic,50,2150000,4.5,2013,Mira,Daihatsu,"ABS, Air Bags, Air Conditioning, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows, USB and Auxillary Cable"
8,Tata Punch,381,Petrol,1199,3,5,Automatic,37,1050000,4.5,2016,Bolan,Suzuki,"Alloy Rims, AM/FM Radio"
9,Mahindra Bolero,107,Diesel,1498,3,7,Manual,60,1230000,4.5,2004,City IDSI,Honda,"ABS, Air Conditioning, Alloy Rims, CD Player, DVD Player, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Steering, Power Windows, Rear Camera, Steering Switches"
10,Maruti Swift,205,Petrol,1197,4,5,Automatic,37,950000,4,2008,Cultus VXR,Suzuki,"Air Conditioning, AM/FM Radio, CD Player, Cool Box, Climate Control, DVD Player, Power Locks, USB and Auxillary Cable"
11,Tata Nexon,568,Diesel,1497,4,5,Automatic,44,1850000,4.5,2018,Every,Suzuki,"Air Bags, Air Conditioning, AM/FM Radio, Front Speakers, Front Camera, Power Locks, Power Steering, Power Windows, Rear speakers, Rear Camera, USB and Auxillary Cable"
12,Hyundai Venue,36,Petrol,998,3,5,Automatic,45,1895000,4.5,2007,Corolla XLI,Toyota,"Air Conditioning, Alloy Rims, AM/FM Radio, Front Speakers, USB and Auxillary Cable"
13,Kia Seltos,2171,Diesel,1493,4,5,Automatic,50,930000,4.5,2004,Baleno,Suzuki,"ABS, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Heated Seats, Immobilizer Key, Keyless Entry, Navigation System, Power Locks, Power Mirrors, Power Steering, Power Windows, Rear speakers, Rear Camera, Steering Switches, USB and Auxillary Cable"
14,Hyundai Tucson,8,Diesel,1997,4,5,Automatic,54,1670000,4.5,2006,City Vario,Honda,"Air Bags, Air Conditioning, Alloy Rims, AM/FM Radio, CD Player, Front Speakers, Power Locks, Power Steering, Power Windows"
